| title                                                                                          | requirements                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| ---------------------------------------------------------------------------------------------- | ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| Vendedor - Canais Digitais                                                                     | {"description":"VEM FAZER PARTE DO GRUPO ARTESANAL! Somos a 2 melhor empresa de Saúde do Brasil para trabalhar, segundo o ranking GPTW 2025! Se você busca crescimento, aprendizado e um time que valoriza pessoas, essa é a sua chance! Como será seu dia-a-dia Realizar atendimento receptivo à clientes Efetuar orçamento e vendas Fazer lançamento de receitas médicas detalhadas em sistema Vender produtos de marca própria e revenda Buscar reverter oçamentos rejeitados Esclarecer dúvidas de clientes Alcançar metas estabelecidas O que buscamos em você:Ensino médio completo. Experiência com Vendas e negociação. Pacote Office/Básico. Horários Disponíveis:Segunda a sexta:10:00 as 20:00, Sábado:09:00 as 13:00 Segunda a sexta:08:00 as 18:00, Sábado:08:00 as 12:00 Local de Trabalho:Avenida A, Setor Oeste, Goiânia-Goiás, 74110-020, Brasil.\n\nFormação Acadêmica\n\nNão informado\n\nSalário\n\nA combinar\n\nCargo\n\nVendedor\n\nEmpresa\n\nArtesanal\n\nFarmácia de manipulação.\n\nRamo\n\nQuímico/ Farmacêutico\n\n(EH)"}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Consultor de vendas                                                                            | {"description":"Vaga de Consultor de vendas com ou sem experiência!\nA MRV&CO está com oportunidades incríveis para Promotores de Vendas e Corretores de Imóveis em Ribeirão Preto - e essa pode ser a virada de chave que você esperava na sua carreira!\nO que oferecemos:\nA maior e mais rápida comissão do\nmercado!\nEstoque sempre abastecido e produtos\nprontos para vender\nLançamentos previstos o ano todo\nTreinamento com método exclusivo de\nVendas Sensia\nAcompanhamento\nPremiações, suporte diário e estrutura\ncompleta para o seu desempenho\nO que você precisa para se candidatar:\nEnsino médio completo\nNotebook próprio\nInteresse e/ou vivência com vendas\nVaga com altas possibilidades de ganhos e crescimento.\n\nQuer fazer parte do time que mais vende no\nBrasil?\nEnvie seu currículo para:\ndouglas.aguiar@mrv.com.br\nOu chame no WhatsApp: (16) 99192-2277"}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| SUPERVISOR DE FOOD SOLUTION - CANAL FARMA                                                      | {"description":"O Grupo 3corações é construído por pessoas, antes de tudo, apaixonadas pelo que fazem. Temos orgulho de crescer pela força do trabalho e seguir, cada vez mais longe, sem esquecer a nossa essência e os nossos valores. É pelo nosso jeito simples de ser que celebramos a diversidade de pessoas e as experiências saborosas que entrelaçam histórias. O resultado é uma companhia com produtos de qualidade, colaboradores e consumidores felizes, fornecedores e parceiros integrados em uma mesma missão proporcionar experiências prazerosas que promovam alegria e bem-estar, criando laços duradouros e gerando valor para todos. Deguste um mundo de possibilidades na maior empresa de café do Brasil!\n\nSaiba mais em www.3coracoes.com\n\nAtenção: Esta vaga é para atuar no grupo 3Corações. O processo seletivo está sendo conduzido pela nossa parceira Umana Brasil, que poderá entrar em contato com você diretamente após a sua inscrição.\n\nResponsabilidades e atribuições\n\nAtendimento aos clientes Key Account;\nAnálise de resultados comerciais e elaboração de planos de ação de sell-in e sell-out em contas-chave nacionais e regionais, alimentando dashboards de gestão para mensuração de resultados;\nDesenvolver negociações comerciais e gerar ações de venda (sell-in x sell-out),\nGarantir ativações de trade e campanhas de incentivos;\nCalendarizar e executar ações de marketing no PDV e gerar insights para materiais promocionais nos canais sob responsabilidade;\nIdentificar e desenvolver novas oportunidades no segmento através de novos negócios;\nRealizar a apresentação Institucional e Produtos;\nEntender o canal por meio de dados de mercado;\nRotina diária de visitas aos pontos de venda;\nRelacionar-se com outras áreas de negócio da Cia, promovendo a sinergia entre negócios;\nConstruir autoridade técnica junto aos varejistas, por meio de uma abordagem especializada e consultiva.\n\n\nRequisitos e qualificações\n\nEscolaridade\n\nEnsino superior completo em Administração, Gestão comercial, Marketing, Economia ou áreas afins.\n\n\nNecessário\n\nGestão de Categorias e Trade Marketing.\nExperiência comercial no segmento de suplementos / saúde e bem estar em Grandes Contas e varejo.\nConhecimento da dinâmica e hierarquia das redes Farma e canal verde.\nPacote Office Avançado.\nHabilidades analíticas para gerar insights através de dados de mercado.\nFerramenta JBP\nConhecimento de SAP\nHabilitação categoria B;\nDisponibilidade de viagem para atuar nas Regiões do Rio Grande do Sul;\n\n\nInformações adicionais\n\nBenefícios\n\nPlano de Saúde compartilhado;\nPlano odontológico;\nTelemedicina e Terapia Online (100% pela empresa);\nBônus por Performance;\nTransporte;\nRefeição;\nKit de Produtos mensal;\nSeguro de Vida;\nWellhub."}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
